GZ01	GZ02	GZ03	GZ04	GZ05	GZ06	GZ07	GZ08	GZ09	GZ10	GZ11	GZ12	GZ13	GZ14	GZ15	BJ01	BJ02	BJ03	BJ04	BJ05	BJ06	BJ07	BJ08	BJ09	BJ10	BJ11	BJ12	BJ13	BJ14	BJ15	BJ16	BJ17	BJ18	BJ19	BJ20	BJ21	BJ22	BJ23	BJ24	BJ25	BJ26	BJ27	BJ28	BJ29	BJ30	BJ31	BJ32	BJ33	GZ16	GZ17	GZ18	GZ19	GZ20	GZ21	GZ22	GZ23	GZ24	GZ25	GZ26	GZ27	GZ28	GZ29
Enterobacteriaceae_Escherichia-Shigella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gammaproteobacteria	10	97	1195	296	581	642	143	8	54	286	1362	1396	7284	1545	2070	0	74	89	92	3	0	0	20	93	162	12	0	0	479	0	3	95	18	73	0	49	1235	84	0	6	10	0	22	0	16	0	0	0	0	273	46	372	129	87	4	2	3	0	26	112	189	214
Enterobacteriaceae_Salmonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacteriaceae_Klebsiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hevea	1	1	0	30	0	10	1	0	5	353	206	1468	264	1637	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	49	30	643	26	330	59	214	30	21	0	587	15
Mitochondria_Saccharomyces	0	21	241	43	108	138	20	2	8	47	247	293	1439	312	444	0	12	13	16	0	0	0	2	16	26	2	0	0	66	0	0	14	1	9	0	4	140	12	0	1	1	0	4	0	2	0	0	0	1	53	5	95	18	17	2	0	1	0	4	23	27	43
Plasmodium	0	0	189	19	9	117	41	2	17	33	98	292	1284	93	557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	14	63	34	22
Ziziphus	0	6	123	22	72	64	8	0	4	26	133	122	783	145	174	0	14	25	18	0	0	0	0	21	40	1	0	0	65	0	3	26	0	21	0	71	279	8	0	0	8	0	2	0	0	0	0	0	0	28	0	31	27	8	0	0	0	0	0	7	5	22
Enterobacteriaceae_Enterobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderiaceae_Candidatus	0	11	92	25	37	55	8	1	7	13	92	129	628	138	271	0	2	5	8	0	0	0	1	4	7	0	0	0	18	0	0	3	2	1	0	0	8	4	0	0	0	0	1	0	0	0	0	0	1	19	2	65	2	9	0	0	1	0	1	15	19	31
Enterobacteriaceae_Yersinia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharomyces	0	4	57	6	12	39	13	0	4	9	56	96	487	86	220	0	0	0	7	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	2	0	0	0	0	0	0	0	0	6	0	54	0	4	0	0	0	0	0	13	15	27
Nelumbo	4	2	50	21	38	33	12	2	10	17	54	54	375	92	191	0	0	2	4	0	0	0	2	7	4	0	0	0	18	0	0	6	0	2	0	0	4	6	0	0	2	0	0	0	2	0	0	0	0	10	4	40	0	0	0	0	0	0	0	20	18	25
Ailurus	0	5	52	3	35	21	3	0	2	5	63	58	305	70	95	0	0	0	6	0	0	0	0	2	1	0	0	0	17	0	0	7	0	1	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	18	0	19	1	3	0	0	0	0	1	1	2	12
Enterobacteriaceae_Serratia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacteriaceae_Candidatus	0	3	31	1	3	23	2	0	2	3	22	48	227	31	120	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	21	0	3	0	0	0	0	0	2	5	9
Enterobacteriaceae_Citrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacteriaceae_Pantoea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrosomonadaceae_Nitrosomonas	0	1	15	2	10	9	6	0	2	5	22	37	169	34	74	0	0	0	2	1	0	0	1	2	0	0	0	0	3	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	21	0	0	0	0	0	0	0	4	7	5
Leucocytozoon	0	0	22	1	0	16	0	0	2	6	20	52	193	10	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	2	2	5	4
Cajanus	0	1	15	6	10	6	2	0	0	3	15	21	171	15	13	0	0	2	0	0	0	0	0	1	2	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	2	0	3	3	0	0	0	0	0	0	0	0	3
Enterobacteriaceae_Cronobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodanobacteraceae_Luteibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacteriaceae_Pectobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacteriaceae_Proteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacteriaceae_Xenorhabdus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacteriaceae_Edwardsiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacteriaceae_Dickeya	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacteriaceae_Raoultella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chenopodium	0	0	0	0	1	0	0	0	1	0	9	14	5	27	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	17	0	11	0	0	0	0	0	10	0
